method,n_movies,alpha,mSIoU_mean,mSIoU_std,BndF1_mean,BndF1_std,IoU_d_mean,IoU_d_std,IoU_nd_mean,IoU_nd_std,R@1_mean,R@1_std,R@5_mean,R@5_std,R@10_mean,R@10_std,MedR_mean,MedR_std
fgclip2_short_bm25_only,50,0.0,0.39882789468774166,0.14033090826236658,0.542584218445722,0.1330155024418528,0.5045687606241036,0.1526985898074354,0.1896764723167036,0.10698599221103237,0.3894840346224509,0.14641634867441097,0.5733316181323815,0.15987049777591672,0.6727620049629353,0.15606272395003676,5.82,6.987674863643844
fgclip2_short_a0.1,50,0.1,0.4967551291483185,0.15464942766158407,0.6198117889385453,0.1360321402427795,0.5788258952975447,0.16084407421945676,0.340825000331195,0.1628814650227127,0.3998952453184097,0.14490287702999013,0.5743733408163332,0.14100476067505238,0.6602894786583101,0.13086579396539139,5.5,7.563729238940273
fgclip2_short_a0.2,50,0.2,0.5042508773561846,0.1522735345495277,0.6256177627462348,0.1426844423256343,0.5842288644232594,0.160406689009092,0.3495098573349707,0.16863567800068982,0.4075469904250905,0.14668678081186778,0.5819613850141617,0.13973176643454172,0.6665154782329872,0.12838085487407766,5.12,7.3739812855743
fgclip2_short_a0.3,50,0.3,0.509858673869458,0.147830711549146,0.6283467187947569,0.14270052207780118,0.5864083478894064,0.1575785623426864,0.35479247340124154,0.1442693424036838,0.41479811131428385,0.14639010683670195,0.5897189908388866,0.13881471414092575,0.6744779824026377,0.12523269133943857,4.86,7.184733815528589
fgclip2_short_a0.4,50,0.4,0.5206058724075292,0.1469915253432977,0.6337042424150856,0.1376148799788056,0.5985011395371832,0.15413167068931757,0.362606442975765,0.1461079111783352,0.4203067765134662,0.1469792005800952,0.5979079911490895,0.13663850835834346,0.6827909056950702,0.12323177711892887,4.66,6.970251071518157
fgclip2_short_a0.5,50,0.5,0.5269008507527675,0.15234049297534627,0.6384839714768842,0.14318571578375675,0.5984467043531194,0.15817787966745514,0.3808796964901242,0.1544253509624399,0.425906656261134,0.14621989771605115,0.6056984539397748,0.13351639860433906,0.6922731560419534,0.12058624502005978,4.31,6.13097871469148
fgclip2_short_a0.6,50,0.6,0.5255730122546978,0.15221193162826857,0.6397429514731067,0.14117341632241837,0.5915571418056177,0.15693139175169193,0.392453806351481,0.14978917216131662,0.426069570559241,0.1418534394396088,0.6132534973506616,0.1316001330492446,0.7017610254304308,0.11871808239025188,4.09,5.552197763048431
fgclip2_short_a0.7,50,0.7,0.5206659677291657,0.14744277262883185,0.6392639868740615,0.13595831487025792,0.5775089354690832,0.15615811630157428,0.4077648506251459,0.13843674232080974,0.40066411062649776,0.13197337934619635,0.61587656695164,0.1306842449348565,0.7080048295068488,0.1189914859148442,4.06,5.244654421408526
fgclip2_short_a0.8,50,0.8,0.4819194646385976,0.14859754336942868,0.6087890239699321,0.1426829401510375,0.5300625548210862,0.15932153102582278,0.38216201269926836,0.1447263819976343,0.32927585635869927,0.11303447809323343,0.5864046289236079,0.12933004398773637,0.6959296686985574,0.12158912620738506,4.76,5.729083696368906
fgclip2_short_a0.9,50,0.9,0.40474671840755355,0.15169670158356507,0.5538924347584698,0.1453763270809183,0.4333030446107882,0.15937708596381517,0.3419442938742786,0.15150729664314844,0.24216770537069743,0.09255242491648678,0.5102317129467638,0.12866315872892062,0.6400648673359612,0.12787787960966382,7.01,7.843780976034454
fgclip2_short_vis_only,50,1.0,0.3177250166938848,0.16110550826543948,0.4967731564316377,0.15674639579938726,0.32902703079673074,0.16314598482934972,0.28994405241189886,0.16711536809042998,0.17412084010000953,0.07141052631544356,0.4170863466555379,0.12114953411665282,0.5526631043342397,0.1337223896040631,10.66,11.363731781417581
fgclip2_long_bm25_only,50,0.0,0.39882789468774166,0.14033090826236658,0.542584218445722,0.1330155024418528,0.5045687606241036,0.1526985898074354,0.1896764723167036,0.10698599221103237,0.3894840346224509,0.14641634867441097,0.5733316181323815,0.15987049777591672,0.6727620049629353,0.15606272395003676,5.82,6.987674863643844
fgclip2_long_a0.1,50,0.1,0.49560846051553936,0.14905297410437274,0.6231745824327883,0.12975624332197558,0.573901438912402,0.15507316059832962,0.3506587337914056,0.16357527729670576,0.3852250856497157,0.14467772059236,0.5409226058511741,0.1407098984879742,0.6238769107679264,0.13030881856206103,6.47,7.513594346250003
fgclip2_long_a0.2,50,0.2,0.5069386236078048,0.1443412894827759,0.6305379508921658,0.1260649526647241,0.5815149035073822,0.15007236278691716,0.36150274607787103,0.1652931678695846,0.39075309811573594,0.14500277424129882,0.5474311394899117,0.13876736496663847,0.6303739908382305,0.1274759046072439,6.12,6.992538880835773
fgclip2_long_a0.3,50,0.3,0.5085771468662984,0.14156793136557447,0.6293479528232949,0.13112978726216398,0.5797874860862432,0.15079601109302576,0.37364246401723666,0.16245891644179353,0.39520359634271046,0.14408437812039449,0.5534303967930169,0.13704507840327534,0.6375572265309097,0.1267546108329105,5.74,6.492487966873715
fgclip2_long_a0.4,50,0.4,0.5098450513072673,0.14495534917045536,0.6324648754364715,0.13669328919840068,0.5772817189284072,0.1541895555393969,0.3781669822010445,0.14111141100652833,0.3967608126739963,0.14230543310169413,0.5597985387145255,0.13558209285990064,0.6454373920341311,0.12509358966286097,5.46,6.0273045385147075
fgclip2_long_a0.5,50,0.5,0.5046138420715249,0.15260148581721547,0.6278211657921705,0.14850939086830947,0.5675700929043582,0.16072036285240252,0.3844185138253259,0.14769473042149842,0.3972896708042913,0.13883901943492075,0.5657978117857769,0.13499495640395423,0.6508597367861934,0.12421480515088612,5.28,5.635743074342548
fgclip2_long_a0.6,50,0.6,0.509618185128734,0.15354513662999864,0.6279554700898882,0.14883174447956105,0.5636153455930231,0.1577273278137613,0.40822305090830985,0.14902050343473,0.3879655661297317,0.13058357858824018,0.5650291266353631,0.13231649990853858,0.65466888413403,0.12334384258449846,5.18,5.331753932806727
fgclip2_long_a0.7,50,0.7,0.4869962028538519,0.15283816396775007,0.6131996241603263,0.14878012182183667,0.5366891186952778,0.1595580887304575,0.39506868539192624,0.14909977519164783,0.349505464748793,0.11748253354061113,0.547119508463022,0.12864383541026728,0.6449456909322298,0.12377668714672173,5.69,5.320610867184331
fgclip2_long_a0.8,50,0.8,0.4408018572807799,0.15842994610983577,0.5780962924461451,0.15347772437932303,0.4782283431076449,0.16966788068761451,0.3729625842834944,0.15077656049520194,0.27093696784633853,0.09894051399124762,0.4920183082002139,0.12477140562379917,0.6038283091808583,0.12468265705628606,7.66,6.433847993230801
fgclip2_long_a0.9,50,0.9,0.32547297519300145,0.16031926494610554,0.5013420266025294,0.16381498077723095,0.3352500302241225,0.17399744366166106,0.3111297322089651,0.1536748628094707,0.18529961553158125,0.07824367648325038,0.40005974502930575,0.11650903041523147,0.5243117853598899,0.1258020380969877,11.49,8.44244632793126
fgclip2_long_vis_only,50,1.0,0.2544529804727468,0.16175275400804648,0.4508626541493929,0.17192668388380286,0.2493387163859868,0.1708771263824279,0.2672358486941361,0.16113853585875584,0.12078748434280723,0.06170380141254406,0.3136864284803036,0.10905996918392206,0.43720115891472955,0.1263872356802571,17.15,12.12899418748315
