method,n_movies,alpha,mSIoU_mean,mSIoU_std,BndF1_mean,BndF1_std,IoU_d_mean,IoU_d_std,IoU_nd_mean,IoU_nd_std,R@1_mean,R@1_std,R@5_mean,R@5_std,R@10_mean,R@10_std,MedR_mean,MedR_std
E1_sent_vis,50,1.0,0.4147526306149104,0.15588513845704452,0.5670150106075629,0.14721935497564467,0.4282851169538692,0.16773575769051532,0.3846026866612754,0.1604544567622539,0.20218056271013862,0.07813906651687429,0.465375538352687,0.12440882412177517,0.6030466678455819,0.13682753755568566,8.52,8.109845867832508
E1_sent_a0.1,50,0.1,0.5169128746420857,0.15090158611059304,0.6351118954419152,0.13640925225456724,0.5958268243426728,0.15961499048374558,0.3694133953904675,0.16096635383010813,0.4128029663835461,0.1490623025675138,0.5954582420181632,0.14093671047716647,0.6803656610526457,0.1287387243169187,4.62,6.263832692529391
E1_sent_a0.3,50,0.3,0.5434586167557468,0.14741020887672665,0.6555748630568716,0.13387268190074875,0.6189368474821928,0.15487466957784443,0.39921151582740505,0.1657490195502549,0.4317804446088646,0.15056879593713363,0.6173851497575211,0.1363646233536123,0.7019799539241789,0.12188651297059296,4.07,5.553386354288705
E1_sent_a0.5,50,0.5,0.5665646722495011,0.14319557470741529,0.6692733350460008,0.13252986566474592,0.6370644662071198,0.14990685644079296,0.43263512537319115,0.1685565863912388,0.4493728471421917,0.1472647238014881,0.6397092660527007,0.13237498057537747,0.7273563706495756,0.1194225642349255,3.46,4.4808927681880535
E1_sent_a0.7,50,0.7,0.5574213944331899,0.15002059271477067,0.6630557649613976,0.1423812172327046,0.617539809417145,0.16240873653269924,0.43976290861330986,0.14389035635608524,0.3978700194666795,0.13103647383542627,0.6430607929993358,0.1322215567506339,0.7407554401444904,0.12044736543193058,3.63,3.9834783795070354
E1_sent_a0.9,50,0.9,0.476138289343892,0.15555486979630037,0.6112528180151524,0.1421185957541539,0.5058268975580247,0.16597111501740597,0.4152922747891736,0.15752776749857678,0.2548959910326728,0.09376985217035418,0.5359983672984852,0.1326161453334304,0.6697683834302188,0.13259792615913435,6.28,6.660450435218328
E2_full_vis,50,1.0,0.3361959251840135,0.15813666410387262,0.5033452015775861,0.1521882662785843,0.3382286757006383,0.16313811805008643,0.3232250811009251,0.17304009111108704,0.1488057292658501,0.06425363119565018,0.3881469409958336,0.12005718569925393,0.5255777344848026,0.13851192058084338,12.58,11.496242864518827
E2_full_a0.1,50,0.1,0.5253867141250432,0.14620181138213964,0.6411792622320185,0.13002852145237428,0.6009048899666354,0.1560306854263518,0.37385882618664373,0.12785315675651807,0.4003711768278807,0.146780084133084,0.580127981832364,0.1399415169424256,0.6676415164506868,0.12859740421989696,4.93,5.810344223882092
E2_full_a0.3,50,0.3,0.5460267961359735,0.1481433394043548,0.6543007077339564,0.13258557543098243,0.6136097464026503,0.1589460251894741,0.40924096613810007,0.13967672597370587,0.41549102542039684,0.1465534271495148,0.5999570177367948,0.13489593796677446,0.6886988483813614,0.12277933369077673,4.28,5.020119520489527
E2_full_a0.5,50,0.5,0.5635300279188286,0.15257088027693821,0.66471925308191,0.13479886997610657,0.6245313457674865,0.16257633661848367,0.4401439539544589,0.13933131587703856,0.42785061568173155,0.14420071239066412,0.6238436734431259,0.12978048595185043,0.7157613857471533,0.117423495252298,3.67,4.146818057257877
E2_full_a0.7,50,0.7,0.5436342166500466,0.14688771552870689,0.6554888867703562,0.14111738262209977,0.5926229586371408,0.15459939632103295,0.4480571956603928,0.14895651630223072,0.37071436365351274,0.1230874365598687,0.6133950849962564,0.13209245352122537,0.7156800730094695,0.12167596381515675,4.07,4.44523340219611
E2_full_a0.9,50,0.9,0.4186629432821467,0.14719189544941208,0.5591580065849652,0.14207760353100682,0.4392148962329027,0.15175645115751502,0.3740040798200143,0.15936306497339386,0.1969628409446895,0.07796199816634715,0.4654250451340269,0.12620465868460456,0.6052721508533946,0.13843375761361496,8.68,8.853677202157305
E3_full_inst_vis,50,1.0,0.4969258036703083,0.14319913421715305,0.6266284274715295,0.12763858532442557,0.5171292892118546,0.16110151075738274,0.4533814202124842,0.13469682264967342,0.25667152104215146,0.08511336810079358,0.5349650012041055,0.1241986760673613,0.6654539285048755,0.13137553445062536,6.39,6.626680918831086
E3_full_inst_a0.1,50,0.1,0.5352569495910561,0.14411784679717113,0.6534271015133737,0.1295700026501404,0.6161020861101065,0.15339171798865028,0.3745454778716144,0.13307645324000578,0.421728267036455,0.14514528381982258,0.6108744576983132,0.13984922338737862,0.6969223449701683,0.12401322584111323,4.16,5.001439792699698
E3_full_inst_a0.3,50,0.3,0.567210554871623,0.14084978643853535,0.6770100054628817,0.12074602903829008,0.6385771664693636,0.14938061120126842,0.42212464387554993,0.1363633833223035,0.44587652874951833,0.1450099120457843,0.6385808906887473,0.13237996020445997,0.7262141205660714,0.11684992377606686,3.45,3.9347808071098447
