paradigm,method,n_movies,alpha,mSIoU_mean,BndF1_mean,IoU_d_mean,IoU_nd_mean,R@1_mean,R@5_mean,R@10_mean,MedR_mean,mSIoU_std,BndF1_std,IoU_d_std,IoU_nd_std,R@1_std,R@5_std,R@10_std,MedR_std
Fusion,clip_a0.5,50,0.5,0.5310616807973646,0.6333012239536323,0.5972428401396989,0.40257606037693144,0.4154594312477571,0.5935804310708838,0.6816788697373726,4.47,0.16646614756843,0.1518854532892253,0.17310936409138758,0.18398718311139775,0.141275175889359,0.1327767030742578,0.12140975531978954,5.4976449503401
Fusion,clip_a0.3,50,0.3,0.5197628728341599,0.6275218181969202,0.59276139512159,0.3782532873772987,0.4059466598383061,0.5798355487259467,0.6655433294902064,4.92,0.1663614657794616,0.14920090414901446,0.17121721990143904,0.18295200248874646,0.14335626722158998,0.13596874364872183,0.12471411601034592,6.449310040616749
Fusion,clip_a0.7,50,0.7,0.5048834766933132,0.6137347443324405,0.5583739183913417,0.40613114168878317,0.36000058089150017,0.589226934736229,0.6886152459673168,4.56,0.15691389392750535,0.15416534300245913,0.1651296202406223,0.17346848644495608,0.12124634463333218,0.12983459337152226,0.12101051471840668,4.8131486575837235
Fusion,clip_a0.1,50,0.1,0.5041655781010196,0.6195216285099782,0.5815785142106957,0.3558209494783988,0.3928927706480696,0.5671587738874464,0.6526872957715958,5.48,0.16592900490123377,0.14910890056540038,0.17087808473363109,0.1772586794761755,0.1424570085197231,0.1384432243858756,0.1294063638750233,6.715623574918415
Visual,TMASS_stoch_fuse_a0.3_full,50,,0.4832991851355694,0.5984097763988618,0.5558125797264855,0.3404999369226785,0.3833166904177018,0.53657032879998,0.621052955051056,6.37,0.16006608529455413,0.1490657754455533,0.17079249476516714,0.15358200389065654,0.14883378606465184,0.1416435091754114,0.12960019388138094,6.863534075095716
Visual,TMASS_stoch_fuse_a0.5_full,50,,0.4830955224073174,0.5935073018368804,0.5425769838269666,0.3652523917849493,0.3811145397045621,0.5440065510648562,0.6315530619466921,5.84,0.16536552852739078,0.15416256858459285,0.17787620399252482,0.155552319632946,0.14260413633640562,0.1388861348399632,0.12842383799204335,6.034434521974698
Visual,TMASS_pool_fuse_a0.3_full,50,,0.48187947131882786,0.5987276330574507,0.5544518176542588,0.33752585779038213,0.3834024237811252,0.5360191522369818,0.6207200460924782,6.34,0.15908034096749296,0.15119192871972387,0.1699596093896527,0.15065002412763856,0.14863837557900877,0.14156969953273035,0.12929323758535954,6.819413464514378
Visual,TMASS_pool_fuse_a0.5_full,50,,0.4817099513905581,0.5944369501686955,0.5406988727736112,0.36466512318406813,0.3815195378087659,0.5429435097218943,0.6312075922247733,5.83,0.16625382799057745,0.15637353437919632,0.17772195653350015,0.1581306917321722,0.1427223468790885,0.13865986199214247,0.1280221101066878,6.039544684825173
Visual,TMASS_pool_fuse_a0.5_vis,50,,0.47963026359671007,0.5939739224845,0.5408422666523095,0.3585332245135557,0.37984926372356903,0.540259793372725,0.6282695926796338,5.98,0.16860366275329172,0.15622723273126146,0.1798278398139236,0.16453700553928066,0.14128087259086694,0.13880291049322616,0.12768987127037978,6.16519261661791
Visual,TMASS_pool_fuse_a0.3_vis,50,,0.47909329646319115,0.5950523509184341,0.5522772880694276,0.3331456982675589,0.38219695256931696,0.5343648126548479,0.6187509050193093,6.42,0.1609747174927888,0.15308129381158295,0.1718909710612077,0.15624360063982012,0.1479880074468035,0.1409591079774544,0.12870579882647376,6.798058546379253
